T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
7738	106	5	13900.	455.	1	6325.	301014	1057	0000000000	0000000000	51	13900.	13900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7739	106	71	12200.	420.	1	5124.	301014	1059	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7740	106	71	12200.	500.	1	6100.	301014	1139	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7741	106	70	14700.	500.	1	7350.	301014	1313	0000000000	0000000000	51	14700.	14700.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7742	106	71	12200.	485.	1	5917.	301014	1600	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7743	106	11	11200.	435.	1	4872.	301014	1601	0000000000	0000000000	51	11200.	11200.	28000110000001	0810434153434152412044452046524549520000000000000000000000000000000000000000000000000000000000000000
7744	106	70	14700.	470.	1	6909.	301014	1603	0000000000	0000000000	51	14700.	14700.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7745	106	78	4700.	660.	1	3102.	301014	1606	0000000000	0000000000	51	4700.	4700.	28000780000001	080D50455A554E41204652494A4F4C0000000000000000000000000000000000000000000000000000000000000000000000
7746	106	2	21200.	4225.	1	89570.	301014	1622	0000000000	0000000000	51	21200.	21200.	28000020000001	080E534F4C4F4D4F205245444F4E444F00000000000000000000000000000000000000000000000000000000000000000000
7747	106	74	12300.	510.	1	6273.	301014	1628	0000000000	0000000000	51	12300.	12300.	28000740000001	080C544F43494E4F204341524E45000000000000000000000000000000000000000000000000000000000000000000000000
7748	106	71	12200.	815.	1	9943.	301014	1630	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
