T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
9546	106	45	6900.	400.	1	2760.	100814	0959	0000000000	0000000000	52	6900.	6900.	28000450000001	0810434F5354494C4C4120444520524553200000000000000000000000000000000000000000000000000000000000000000
9547	106	17	11800.	750.	1	8850.	100814	1007	0000000000	0000000000	52	11800.	11800.	28000170000001	0814534F425245424152524947412044454C4741444100000000000000000000000000000000000000000000000000000000
9548	106	24	8700.	850.	1	7395.	100814	1007	0000000000	0000000000	52	8700.	8700.	28000240000001	08105441504120444520434F5354494C4C410000000000000000000000000000000000000000000000000000000000000000
9549	106	7	13900.	725.	1	10078.	100814	1028	0000000000	0000000000	52	13900.	13900.	28000070000001	080F485545564F20444520414C44414E41000000000000000000000000000000000000000000000000000000000000000000
9550	106	71	12200.	550.	1	6710.	100814	1030	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9551	106	71	12200.	495.	1	6039.	100814	1042	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9552	106	74	10700.	755.	1	8079.	100814	1050	0000000000	0000000000	52	10700.	10700.	28000740000001	080C544F43494E4F204341524E45000000000000000000000000000000000000000000000000000000000000000000000000
9553	106	45	6900.	475.	1	3278.	100814	1057	0000000000	0000000000	52	6900.	6900.	28000450000001	0810434F5354494C4C4120444520524553200000000000000000000000000000000000000000000000000000000000000000
9554	106	36	6800.	460.	1	3128.	100814	1057	0000000000	0000000000	52	6800.	6800.	28000360000001	0804434F4C410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9555	106	5	13900.	525.	1	7298.	100814	1058	0000000000	0000000000	52	13900.	13900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9556	106	5	13900.	515.	1	7159.	100814	1059	0000000000	0000000000	52	13900.	13900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9557	106	5	13900.	590.	1	8201.	100814	1101	0000000000	0000000000	52	13900.	13900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9558	106	71	12200.	455.	1	5551.	100814	1104	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9559	106	4	13900.	455.	1	6325.	100814	1106	0000000000	0000000000	52	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9560	106	71	0	0	0	0	100814	1113	0000000000	0000000000	52	0	0	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9561	106	5	13900.	700.	1	9730.	100814	1133	0000000000	0000000000	52	13900.	13900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9562	106	8	13900.	2575.	1	35793.	100814	1140	0000000000	0000000000	52	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
9563	106	71	12200.	590.	1	7198.	100814	1147	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9564	106	73	12700.	660.	1	8382.	100814	1148	0000000000	0000000000	52	12700.	12700.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
9565	106	4	13900.	1010.	1	14039.	100814	1152	0000000000	0000000000	52	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9566	106	72	11200.	945.	1	10584.	100814	1154	0000000000	0000000000	52	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
9567	106	15	10100.	1515.	1	15302.	100814	1212	0000000000	0000000000	52	10100.	10100.	28000150000001	08084D4F5252494C4C4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
9568	106	36	6800.	1045.	1	7106.	100814	1216	0000000000	0000000000	52	6800.	6800.	28000360000001	0804434F4C410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9569	106	86	5400.	2635.	1	14229.	100814	1218	0000000000	0000000000	52	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
9570	106	26	12500.	415.	1	5188.	100814	1222	0000000000	0000000000	52	12500.	12500.	28000260000001	081050554E544120455350414C44494C4C410000000000000000000000000000000000000000000000000000000000000000
9571	106	71	12200.	1160.	1	14152.	100814	1224	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9572	106	8	13900.	985.	1	13692.	100814	1241	0000000000	0000000000	52	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
9573	106	71	12200.	1020.	1	12444.	100814	1242	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9574	106	18	10200.	750.	1	7650.	100814	1258	0000000000	0000000000	52	10200.	10200.	28000180000001	0813534F42524542415252494741204752554553410000000000000000000000000000000000000000000000000000000000
9575	106	71	12200.	1020.	1	12444.	100814	1302	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9576	106	15	10100.	515.	1	5202.	100814	1309	0000000000	0000000000	52	10100.	10100.	28000150000001	08084D4F5252494C4C4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
9577	106	18	10200.	715.	1	7293.	100814	1321	0000000000	0000000000	52	10200.	10200.	28000180000001	0813534F42524542415252494741204752554553410000000000000000000000000000000000000000000000000000000000
