idVenta;fecha;pesoVenta;plu_idPlu;puntoVenta_idPuntoVenta
8054;2014-11-08 00:00:00;1585;87;51
8055;2014-11-08 00:00:00;1575;87;51
8056;2014-11-08 00:00:00;1500;87;51
8057;2014-11-08 00:00:00;1415;86;51
8058;2014-11-08 00:00:00;2725;86;51
8059;2014-11-08 00:00:00;940;89;51
8060;2014-11-08 00:00:00;480;89;51
8061;2014-11-08 00:00:00;800;89;51
8062;2014-11-09 00:00:00;1460;86;51
8063;2014-11-09 00:00:00;1090;86;51
8064;2014-11-09 00:00:00;720;87;51
8065;2014-11-09 00:00:00;1000;89;51
8066;2014-11-09 00:00:00;1075;87;51
8067;2014-11-09 00:00:00;540;86;51
8068;2014-11-09 00:00:00;475;71;51
8069;2014-11-09 00:00:00;810;87;51
8070;2014-11-09 00:00:00;600;7;51
8071;2014-11-09 00:00:00;870;87;51
8072;2014-11-09 00:00:00;2200;2;51
8073;2014-11-09 00:00:00;1015;70;51
8074;2014-11-09 00:00:00;530;70;51
8075;2014-11-09 00:00:00;515;18;51
8076;2014-11-09 00:00:00;965;87;51
8077;2014-11-09 00:00:00;630;16;51
8078;2014-11-09 00:00:00;2020;89;51
8079;2014-11-09 00:00:00;790;87;51
8080;2014-11-09 00:00:00;1500;2;51
8081;2014-11-09 00:00:00;910;87;51
8082;2014-11-09 00:00:00;1985;73;51
8083;2014-11-09 00:00:00;1590;74;51
8084;2014-11-09 00:00:00;675;28;51
8085;2014-11-09 00:00:00;875;87;51
8086;2014-11-09 00:00:00;740;67;51
8087;2014-11-09 00:00:00;1485;18;51
8088;2014-11-09 00:00:00;850;87;51
8089;2014-11-09 00:00:00;470;28;51
8090;2014-11-09 00:00:00;1480;87;51
8091;2014-11-09 00:00:00;1795;87;51
8092;2014-11-09 00:00:00;515;73;51
8093;2014-11-09 00:00:00;345;88;51
8094;2014-11-09 00:00:00;855;999998;51
8095;2014-11-09 00:00:00;855;87;51
8096;2014-11-09 00:00:00;1485;86;51
8097;2014-11-09 00:00:00;940;87;51
8098;2014-11-09 00:00:00;1950;86;51
8099;2014-11-09 00:00:00;1035;89;51
8100;2014-11-09 00:00:00;975;87;51
8101;2014-11-09 00:00:00;2040;86;51
8102;2014-11-09 00:00:00;570;86;51
8103;2014-11-09 00:00:00;445;70;51
8104;2014-11-09 00:00:00;510;999998;51
8105;2014-11-09 00:00:00;510;4;51
8106;2014-11-09 00:00:00;930;87;51
8107;2014-11-09 00:00:00;2495;86;51
8108;2014-11-09 00:00:00;680;71;51
8109;2014-11-09 00:00:00;850;87;51
8110;2014-11-09 00:00:00;555;86;51
8111;2014-11-09 00:00:00;735;73;51
8112;2014-11-09 00:00:00;765;87;51
8113;2014-11-09 00:00:00;1620;87;51
8114;2014-11-09 00:00:00;2640;87;51
8115;2014-11-09 00:00:00;470;18;51
8116;2014-11-09 00:00:00;455;5;51
8117;2014-11-09 00:00:00;490;4;51
8118;2014-11-09 00:00:00;470;86;51
8119;2014-11-09 00:00:00;1370;4;51
8120;2014-11-09 00:00:00;475;4;51
8121;2014-11-09 00:00:00;2795;86;51
8122;2014-11-09 00:00:00;520;71;51
8123;2014-11-09 00:00:00;4955;72;51
8124;2014-11-09 00:00:00;2695;86;51
